stat,average,total_points
total_points,0.5225063425015538,1520.3372770277404
hit_pct,0.20504315598089587,760.1686385138702
assists,0.2838100923243249,608.1349108110961
r_err,0.032832482377512,912.2023662166441
total_blocks,0.05035426756301637,1216.2698216221922
digs,0.36067803837322987,1520.3372770277404
